abonent	Абонент
find-person	Осуществляется поиск данного абонента.
first-three-letters-entry	Пожалуйста, введите первые три буквы названия, которое вам необходимо.
for	для 
goodbye	До свидания .
hash	Решётка.
hello-world	Здравствуй, мир.
hm-hm	Хм-хм
hours	часов
if-correct-press	Если это правильно - нажмите…
info-about-last-call	Информация о вашем последнем звонке…
invalid	Ошибочный номер! Попробуйте ещё раз.
is-curntly-unavail	Сейчас не доступен.
is-currently-set-to	Сейчас установлена.
is	EMPTY
is-set-to	Установлена на…
izvinite	Извините
konferencii	Конференции
last-num-to-call	Последний набранный номер для вызова этой линии был…
let-me-find-him	Производится поиск.
linija	линия
minutes	Минут.
najmite-1	нажмите 1
najmite-2	нажмите 2
na-linii	на линии
na-nomer	на номер
ne-bespokoit	не беспокоить
ne-otvechaet	не отвечает
ne-podkljuchen	не подключен
ne-ustanovlen	не установлен
nevernyj-vybor	Извините, вы выбрали неверную команду. Пожалуйста, попробуйте снова. Спасибо.
nomer-pereadresacii	номер переадресации
nomer	номер
not-forwarded	Не переадресован.
novyj	новый
number	Номер...
num-was-successfully	Номер успешно…
objavlenie-o-pereadresacii	объявление о переадресации звонка
oh	ноль
one-moment-please	секнду, пожалуйста...
operatori	Операторы 
order-number	порядковый номер
or-wait-for-receptionist	или дождитесь ответа оператора
ozhidajte-soedinenija	ожидайте, пожалуйста, соединения
paroli-ne-sovpadajut	пароли не совпадают
parol	пароль
pbx-invalidpark	Извините, припаркованный вызов по данному номеру не найден
pbx-invalid	Извините, данный номер не существует. Пожалуйста, попробуйте еще раз.
pbx-transfer	Перевод
percent	Процент.
pereadresacii-zvonka	переадресации звонка
pereadresacija-zvonka-bezusluvnaja	безусловная переадресация звонка
pereadresacija-zvonka-po-nedostupen	переадресация звонка по недоступен
pereadresacija-zvonka-po-zanjato	переадресация звонка по занято
play-enter-num	Наберите номер сообщения и нажмите решётку.
please-enter-your	Пожалуйста, введите ваш…
pls-hold-or-leave-a-voicemail	Оставайтесь пожалуйста на линии. Ваш звонок очень важен для нас. Если Вы не можете ожидать, оставьте сообщение в голосовой почте, нажав цифру 3, и мы Вам обязательно перезвоним.
pls-hold-while-try	Ждите соединения.
pls-try-call-later	Пожалуйста, позвоните позже.
plus	Плюс.
PM	После полудня.
po-budnjam	по-дням
poprobujte-eshhe-raz	попробуйте еще раз
pounds	Фунтов.
pound	Фунт.
press-0	Нажмите ноль.
press-1	Нажмите цифру 1
press-2	нажмите два
press-3	Нажмите три.
press-4	Нажмите четыре.
press-5	Нажмите пять.
press-6	Нажмите шесть.
press-7	Нажмите семь.
press-8	Нажмите восемь.
press-9	Нажмите девять.
press-star	Нажмите звёздочку.
privacy-incorrect	Извините, это неверный номер.
privacy-prompt	Введите ваш номер телефона, начиная с кода территории.
privacy-thankyou	Спасибо.
privacy-to-blacklist-last-caller	Добавление в список блокировки номера последнего звонившего.
privacy-unident	Набранный вами абонент не отвечает на звонки с неопределяемыми номерами.
priv-at	В.
priv-callee-options	Нажмите 1, если вы хотите, чтобы этот звонящий абонент связался с вами прямо сейчас и всегда в дальнейшем. Нажмите 2, если вы хотите, чтобы этот звонящий абонент переключился на голосовую почту прямо сейчас и всегда в дальнейшем. Нажмите 3, чтобы переключить этого звонящего абонента в кольцевое меню прямо сейчас и всегда в дальнейшем. Нажмите 4, чтобы переключить этого звонящего абонента в меню вежливого отказа принять звонок прямо сейчас и всегда в дальнейшем. Нажмите 5, чтобы этот звонящий абонент переключился непосредственно на вас в дальнейшем, но в данный момент переключился на голосовую почту.
priv-callfrom	Вам поступил звонок от…
priv-callpending	На линии ожидает абонент, который представился как…
priv-instruct	Нажмите 1, чтобы принять этот звонок. Нажмите 2, чтобы отклонить его. Нажмите 3, чтобы всегда принимать звонки с этого номера. Нажмите 4, чтобы никогда не принимать звонки с этого номера. Нажмите 5, чтобы сбрасывать звонки с этого номера и сообщить звонящему, чтобы он внёс вас в список абонентов, кому не надо звонить.
priv-introsaved	Спасибо. Оставайтесь на линии. Происходит соединение с абонентом.
priv-recordintro	Пожалуйста, представьтесь.
priv-sayname	После сигнала произнесите своё имя или название организации, которую вы представляете.
priv-trying	Оставайтесь на линии. Происходит соединение с абонентом.
queue-callswaiting-NOT_NEEDED	ожидают ответа оператора
queue-callswaiting	ожидайте пожалуйста ответа оператора
queue-holdtime	прогнозируемое время ожидания составляет 
queue-less-than	менее 
queue-minutes	минут
queue-periodic-announce	Все наши операторы заняты. Пожалуйста, оставайтесь на линии, и Ваш звонок будет обслужен первым доступным оператором. 
queue-reporthold	время ожидания
queue-seconds	секунд
queue-thankyou	благодарим за терпение.
queue-thereare	Ваша позиция в очереди
queue-youarenext	Ваш звонок является первым в очереди и будет обслужен первым доступным оператором.
razgovor-mozhet-byt-zapisan	Внимание! В целях улучшения качества обслуживания наших клиентов Ваш разговор может быть записан.
record-enter-num	Наберите номер сообщения и нажмите решётку. Запись начнётся после сигнала. Для завершения записи - нажмите «решётку».
recording-menu	Нажмите 1 для записи сообщения. Или 2 - для его прослушивания.
record-menu	Нажмите 1 для записи сообщения. Или 2 - для прослушивания записанных сообщений.
removed	Удалён.
rezhim	режим
sales-dep	коммерческий отдел
screen-callee-options	Вам доступны следующие функции. Нажмите 1, чтобы незамедлительно ответить на этот вызов. Нажмите 2, если вы хотите, чтобы этот звонящий абонент переключился на голосовую почту. Нажмите 3, чтобы переключить этого звонящего абонента в кольцевое меню. Нажмите 4, чтобы переключить этого звонящего абонента в меню вежливого отказа принять звонок.
seconds	секунд
slash	Слэш.
sorry	Извините.
space	Пробел.
speed-dial-empty	Номер быстрого набора, который вы ввели не действует.
speed-dial	Операция быстрого набора.
speed-enterlocation	Пожалуйста, введите короткий индекс, который будет присвоен номеру быстрого набора.
speed-enternumber	Пожалуйста, введите номер телефона. Затем - нажмите клавишу «решётка».
spy-agent	Агент.
spy-h323	аш-323
spy-iax2	ИАКС-2
spy-iax	ИАКС
spy-mgcp	МГЦП
spy-sip	СИП
spy-skinny	Скинни.
spy-zap	Зап.
ss-noservice	Набранный вами номер отключён. Проверьте номер и повторите попытку.
start-recording	Запись начнётся после сигнала. Для завершения записи - нажмите любую цифру.
support-dep	отдел заботы о клиентах
s	с
tech-dep	Технический отдел
telephone-number	Номер телефона.
thank-you-for-calling	благодарим за звонок.
then-press-pound	И нажмите решётку.
the-number-u-dialed	Набранный вами номер…
T-is-not-available	Недоступен.
to-call-exten	для соединения с сотрудником
to-call-this-number	Для вызова этого номера…
to-contact-sales	для получения информации коммерческого характера
to-contact-tech-support	для связи с технической поддержкой
to-listen-to-it	Для прослушивания…
to-rerecord-it	Чтобы перезаписать…
transfer	ожидайте, пожалуйста, соединения
user-not-avail-menu	Здравствуйте! В данный момент абонент не может ответить на  Ваш звонок. Чтобы отправить ему факс, нажмите 1, чтобы связаться с абонентом по сотовому телефону, нажмите 2, или оставьте Ваше сообщение в голосовой почте. Спасибо за звонок.
ustanovlennyj	установленный
ustanovleno	установлено
ustanovlen-	установлен  (продолжительно, как во вразе "номер переадресации установлен в xxxxx)
ustanovlen	установлен  (утвердительно, как во фразе "режим установлен.")
vas-privetstvuet	Вас приветствует компания
v-dannyj-moment	в данный момент
vkljuchena	включена
vkljucheno	включено
vkljuchen	включен
vm-advopts	Нажмите три для расширенных настроек.
vm-and	и
vm-busy	После звукового сигнала произнесите сообщение, которое будет использоваться в случае занятости вашей линии. По окончании - нажмите «решётку».
vm-calldiffnum	Нажмите 2 для ввода другого номера.
vm-changeto	Сменить на какую директорию?
vm-check-mail	Проверьте ящик голосовой почты.
vm-Cust1	Директория пять.
vm-Cust2	Директория шесть.
vm-Cust3	Директория семь.
vm-Cust4	Директория  восемь.
vm-Cust5	Директория  девять.
vm-deleted	Сообщение удалено.
vm-delete	Нажмите 7 для удаления этого сообщения.
vm-dialout	Пожалуйста, подождите. Происходит соединение.
vm-enter-num-to-call	Введите номер назначения.
vm-extension	Внутренний номер?
vm-Family	семейных
vm-first	первoe
vm-forwardoptions	Нажмите 1, чтобы прокомментировать и переслать это  сообщение, или 2 для пересылки этого сообщения без комментария.
vm-for	для 
vm-Friends	дружеских
vm-from-extension	Сообщение от абонента…
vm-from-phonenumber	Сообщение от абонента с номером…
vm-from	От…
vm-goodbye	До свидания .
vm-helpexit	Нажмите звездочку для получения помощи или решетку для выхода.
vm-INBOX	новых
vm-incorrect-mailbox	Логин неверен. Введите номер абонента еще раз.
vm-incorrect	Неверный пароль.
vm-instructions	Для прослушивания сообщений нажмите 1.  Для выхода из голосового ящика в любое время нажмите решетку 
vm-intro	Оставьте сообщение после сигнала. После этого  нажмите решетку или повесьте трубку.
vm-isonphone	занят
vm-isunavail	недоступен 
vm-last	последнее
vm-leavemsg	нажмите пять, чтобы оставить голосовое сообщение
vm-login	Голосовая почта. Номер абонента? 
vm-mailboxfull	Извините, но голосовой ящик абонента  переполнен. 
vm-messages	сообщений.
vm-messagex1	сообщения
vm-messagex2	сообщений.
vm-message	сообщение.
vm-mismatch	Введенные пароли не совпадают. Пожалуйста, введите пароли еще раз.
vm-msginstruct	Для прослушивания следующего сообщения нажмите 6. Для повторного прослушивания сообщения нажмите 5. Для прослушивания предыдущего сообщения нажмите 4. Для удаления или восстановления сообщения нажмите 0. Для выхода из голосовой почты нажмите решетку. 
vm-msgsaved	Сообщение сохранено. 
vm-newn	новое
vm-newpassword	Введите новый пароль и нажмите решетку. 
vm-newuser	Добро пожаловать в голосовую почту! Для начала прослушайте инструкцию по настройке ящика.
vm-newx	новых
vm-next	Нажмите 6 для прослушивания следующего сообщения.  
vm-nobodyavail	В данный момент никто не может принять Ваш звонок.
vm-nobox	Вы не можете ответить на это сообщение, так как отправитель не имеет ящика голосовой почты.
vm-nomore	Больше сообщений нет.
vm-nonumber	К сожалению, отправитель сообщения не известен.
vm-novoe	новое
vm-novyh	новых
vm-no	нет.
vm-num-i-have	Записан следующий номер.
vm-oldn	старое
vm-oldx	старых
vm-Old	старых
vm-onefor	Нажмите 1 для
vm-options	Нажмите 1 для записи Вашего сообщения при статусе «недоступен». Нажмите 2 для записи Вашего сообщения при статусе «занято». Нажмите 3 для записи Вашего имени. Нажмите 4 для записи временного сообщения. Нажмите 5 для смены пароля или звездочку для возврата в главное меню.
vm-opts	Нажмите 2 для смены директории. Нажмите 3 для расширенных настроек. Нажмите 0 для настроек голосовой почты.
vm-passchanged	Пароль сменен. 
vm-password	Пароль.
vm-press	Нажмите
vm-prev	Нажмите 4 для предыдущего сообщения.
vm-reachoper	Нажмите 0 для связи с оператором.
vm-rec-busy	После сигнала произнесите свое сообщение при статусе «занято» и  нажмите решетку.     
vm-received	получено
vm-rec-name	После сигнала произнесите свое имя и нажмите решетку.
vm-rec-temp	После сигнала произнесите ваше временное сообщение и нажмите решетку
vm-rec-unv	После сигнала произнесите свое сообщение при статусе недоступен и нажмите решетку
vm-reenterpassword	Введите пароль и нажмите решетку.
vm-repeat	Нажмите 5 для повтора текущего сообщения. 
vm-review	Нажмите один, чтобы принять сообщение, два - чтобы его прослушать или три, чтобы записать его заново
vm-savedto	Сохранено в
vm-saved	Сохранено.
vm-savefolder	В какой директории сохранить сообщение?
vm-savemessage	или 9 для сохранения сообщения.
vm-saveoper	Нажмите 1, чтобы принять эту запись. Или просто оставайтесь на линии.
vm-soobshenie	сообщение
vm-soobsheniya	сообщения
vm-soobsheniy	сообщений.
vm-sorry	Извините, Ваш выбор не понят системой. 
vm-star-cancel	Нажмите клавишу «взёздочка» для отмены.
vm-starmain	нажмите звездочку чтобы вернуться в главное меню
vm-staroe	старое
vm-staryh	старых
vm-tempgreetactive	Ваше временное приветствие установлено.
vm-tempgreeting	…1 для записи временного приветствия.
vm-tempgreeting2	нажмите один что бы перезаписать ваше временное сообщение или 2 чтобы его удалить
vm-tempremoved	ваше временное сообщение удалено
vm-then-hash	Затем нажмите клавишу «решётка».
vm-theperson	абонент с номером 
vm-tmpexists	активировано временное сообщение, которое заменяет ваши стандартные сообщения
vm-tocallback	Нажмите 2, чтобы позвонить абоненту, который оставил это сообщение.
vm-tocallnum	Нажмите 1, чтобы позвонить по этому номеру.
vm-tocancelmsg	Нажмите клавишу «звёздочка» для отмены сообщения.
vm-tocancel	или решетку для отмены.
vm-toenternumber	Нажмите 1 для ввода номера.
vm-toforward	Нажмите 8 для пересылки этого сообщения другому абоненту. 
vm-tohearenv	Нажмите 3 для прослушивания информации о сообщении.
vm-tomakecall	нажмите четыре, чтобы сделать исходящий звонок
vm-tooshort	Ваше сообщение слишком короткое.
vm-toreply	Нажмите 1 для отправки ответа.
vm-torerecord	Нажмите 3 для перезаписи сообщения.
vm-undeleted	Сообщение восстановлено.
vm-undelete	Нажмите 7 для восстановления этого сообщения. 
vm-unknown-caller	От неизвестного абонента.
vm-whichbox	Чтобы оставить сообщение, введите номер абонента. 
vm-Work	Рабочих
vm-youhave	У вас.
vremja-ozhidanija-isteklo	Время ожидания истекло
vremja-raboty	время работы нашей компании
v-subbotu	в субботу
vvedite-novoe-znachenie	введите новое значение
vvedite-parol-eshhe-raz	введите пароль еще раз
vvedite	введите
v-voskresenye	в воскресенье
v-vyhodnye-dni	в выходные дни
vyhodnoj	выходной
vykljuchena	выключена
vykljucheno	выключено 
vykljuchen	выключен
v	в
welcome-to-phonebook	Телефонный справочник к вашим услугам!
you-can-press	Вы можете нажать…
your	Ваш…
zanjat	занят
zdravstujte	здравствуйте
